timestamp,num_faces,exit_stage,yolo_ms,insightface_ms,embedding_ms,identify_ms,liveness_ms,antispoof_ms,total_ms
2026-06-05 00:35:53,1,success,70.14,233.41,0.02,0.32,0.22,168.98,412.5
2026-06-05 00:35:53,1,liveness_fail,56.43,261.71,0.02,0.1,0.17,,262.07
2026-06-05 00:35:53,1,liveness_fail,69.59,186.93,0.02,0.08,0.14,,187.21
2026-06-05 00:35:54,1,liveness_fail,67.03,210.75,0.02,0.1,0.17,,211.11
2026-06-05 00:35:54,1,liveness_fail,68.26,201.1,0.02,0.09,0.13,,201.4
2026-06-05 00:35:55,1,success,59.75,244.57,0.05,0.18,0.33,143.05,400.98
2026-06-05 00:35:55,1,liveness_fail,59.09,260.0,0.03,0.38,0.24,,260.73
2026-06-05 00:35:55,1,liveness_fail,73.51,194.33,0.02,0.24,0.15,,194.81
2026-06-05 00:35:55,1,liveness_fail,61.92,233.37,0.02,0.1,0.15,,233.72
2026-06-05 00:35:56,1,liveness_fail,79.46,204.84,0.02,0.08,0.13,,205.12
2026-06-05 00:35:56,1,success,69.14,298.7,0.03,0.09,0.29,133.13,442.31
2026-06-05 00:35:57,1,liveness_fail,47.27,201.79,0.02,0.1,0.14,,202.1
2026-06-05 00:35:58,1,liveness_fail,55.66,802.84,0.05,0.17,0.29,,803.43
2026-06-05 00:35:58,1,success,89.15,210.61,0.02,0.09,0.15,140.03,364.06
2026-06-05 00:35:58,1,liveness_fail,86.75,284.24,0.03,1.57,0.24,,286.25
2026-06-05 00:35:59,1,liveness_fail,136.61,306.3,0.02,0.1,0.14,,306.61
2026-06-05 00:35:59,1,liveness_fail,95.93,228.57,0.02,0.08,0.12,,228.84
2026-06-05 00:36:00,1,liveness_fail,88.13,238.27,0.02,0.1,0.14,,238.61
2026-06-05 00:36:00,1,success,136.24,369.6,0.07,3.1,1.3,178.48,568.79
2026-06-05 00:36:01,1,liveness_fail,101.49,413.96,0.02,0.1,0.15,,414.28
2026-06-05 00:36:01,1,liveness_fail,78.51,225.07,0.02,0.1,0.15,,225.43
2026-06-05 00:36:01,1,liveness_fail,71.16,227.69,0.03,0.1,0.18,,228.09
2026-06-05 00:36:02,1,liveness_fail,94.81,240.88,0.04,0.17,0.24,,241.39
2026-06-05 00:36:02,1,success,146.05,229.83,0.02,0.1,0.2,134.45,385.27
2026-06-05 00:36:03,1,liveness_fail,54.06,237.61,0.02,0.09,0.17,,237.95
2026-06-05 00:36:03,1,liveness_fail,88.78,275.56,0.04,0.17,0.2,,276.64
2026-06-05 00:36:04,1,liveness_fail,238.06,250.93,0.03,0.08,0.15,,251.25
2026-06-05 00:36:04,1,liveness_fail,93.35,208.8,0.03,0.11,0.16,,209.17
2026-06-05 00:36:04,1,success,86.14,299.19,0.03,0.34,0.36,162.87,473.3
2026-06-05 00:36:05,1,liveness_fail,51.21,233.11,0.02,0.09,0.37,,233.64
2026-06-05 00:36:05,1,liveness_fail,72.52,213.25,0.02,0.08,0.13,,213.54
2026-06-05 00:36:05,1,liveness_fail,78.19,221.11,0.02,0.1,0.13,,221.41
2026-06-05 00:36:06,1,liveness_fail,56.03,191.03,0.02,0.13,0.14,,191.38
2026-06-05 00:36:06,1,success,68.12,206.38,0.03,0.1,0.2,128.56,347.98
2026-06-05 00:36:06,1,liveness_fail,42.88,219.45,0.03,0.11,0.15,,219.8
2026-06-05 00:36:07,1,liveness_fail,92.58,258.95,0.02,0.09,0.16,,259.29
2026-06-05 00:36:07,1,liveness_fail,102.61,301.86,0.03,0.11,0.15,,302.22
